metodo,sensor,col,fila,idoneidad,costo_total
pso_dos_fases,1,106,110,0.9756125731755254,-19.575833727865362
pso_dos_fases,2,35,30,0.9975218369867691,-19.575833727865362
pso_dos_fases,3,122,94,0.9950015941872759,-19.575833727865362
pso_dos_fases,4,70,127,0.9994752549192203,-19.575833727865362
pso_dos_fases,5,15,62,0.9969823427122129,-19.575833727865362
pso_dos_fases,6,67,83,0.8416388307883456,-19.575833727865362
pso_dos_fases,7,151,173,0.9935884573184836,-19.575833727865362
pso_dos_fases,8,174,102,0.9797523043381666,-19.575833727865362
pso_dos_fases,9,102,170,0.9432472010421027,-19.575833727865362
pso_dos_fases,10,72,149,0.9417071595579471,-19.575833727865362
pso_dos_fases,11,45,74,0.9880004899561432,-19.575833727865362
pso_dos_fases,12,141,127,0.9823138339647032,-19.575833727865362
pso_dos_fases,13,70,73,0.9991809347695788,-19.575833727865362
pso_dos_fases,14,42,135,0.9846145858784909,-19.575833727865362
pso_dos_fases,15,130,82,0.984216633844551,-19.575833727865362
pso_dos_fases,16,56,125,0.9990348622187343,-19.575833727865362
pso_dos_fases,17,126,100,0.9923633860272605,-19.575833727865362
pso_dos_fases,18,146,125,0.9976569905399281,-19.575833727865362
pso_dos_fases,19,113,176,0.9839814864327692,-19.575833727865362
pso_dos_fases,20,47,108,0.9999429692071569,-19.575833727865362
