epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.43091,0.89932,3.0979,1.24432,0.00233,0.7,0.1572,0.11225,0.70147,3.7769,1.19719,2e-05,2e-05,2e-05
2,12.808,0.9683,3.01019,1.28197,0.00267,0.8,0.28159,0.19773,0.64661,3.73682,1.14447,5.703e-05,5.703e-05,5.703e-05
3,19.5673,0.80841,2.96973,1.20008,0.00283,0.85,0.35528,0.25762,0.60708,3.63543,1.07506,9.01e-05,9.01e-05,9.01e-05
4,25.9222,0.71704,2.5856,1.12075,0.00283,0.85,0.39934,0.32404,0.61868,3.54165,1.00698,0.00011921,0.00011921,0.00011921
5,32.7615,0.78237,2.57029,1.01871,0.00317,0.95,0.42493,0.32687,0.62479,3.48958,0.98435,0.00014436,0.00014436,0.00014436
6,39.144,0.64325,2.19684,0.98174,0.00333,1,0.47093,0.36798,0.59782,3.43632,0.96076,0.00016555,0.00016555,0.00016555
7,45.4607,0.55989,1.54754,0.9702,0.00333,1,0.53013,0.46112,0.60957,3.33231,0.94195,0.00018278,0.00018278,0.00018278
8,51.5568,0.62176,1.81655,1.02156,0.00333,1,0.54794,0.47901,0.59017,3.30034,0.92074,0.00019605,0.00019605,0.00019605
9,57.9966,0.56085,1.5176,1.025,0.00609,0.95,0.53043,0.45752,0.57444,3.32709,0.92437,0.00020536,0.00020536,0.00020536
10,64.3386,0.61797,1.45858,1.02316,0.95312,0.35,0.51405,0.44586,0.56039,3.31123,0.9211,0.00021071,0.00021071,0.00021071
11,70.5258,0.61099,2.58453,1.0583,1,0.20189,0.51724,0.45012,0.55508,3.30754,0.93659,0.0002121,0.0002121,0.0002121
12,77.0685,0.66573,2.39429,1.0565,0.00393,0.65,0.5313,0.46971,0.56093,3.32477,0.95495,0.00020953,0.00020953,0.00020953
13,82.9444,0.60649,2.57127,1.02642,0.00333,1,0.51941,0.47336,0.5912,3.34499,0.96848,0.000203,0.000203,0.000203
14,88.7469,0.64708,1.89188,0.97774,0.00333,1,0.50184,0.44415,0.5732,3.33747,0.95469,0.00019251,0.00019251,0.00019251
15,94.6274,0.66008,1.98106,0.98408,0.00333,1,0.50606,0.45164,0.571,3.34283,0.95082,0.00017806,0.00017806,0.00017806
16,100.565,0.73543,2.14663,1.06,0.00333,1,0.50717,0.45651,0.55349,3.33882,0.92432,0.00015965,0.00015965,0.00015965
17,106.706,0.7114,2.11845,0.9723,0.00333,1,0.52339,0.47041,0.53718,3.30542,0.90713,0.00013728,0.00013728,0.00013728
18,112.451,0.64181,1.81943,0.98437,0.00333,1,0.54751,0.47854,0.51818,3.28042,0.89177,0.00011095,0.00011095,0.00011095
19,118.154,0.83763,2.02611,1.06946,0.0044,0.75,0.57152,0.50434,0.51096,3.26875,0.88591,8.066e-05,8.066e-05,8.066e-05
20,123.988,0.58911,1.79863,0.99933,0.6693,0.55,0.58106,0.51476,0.52498,3.24658,0.88859,4.641e-05,4.641e-05,4.641e-05
